question	optionA	optionB	optionC	optionD	answer	explanation
資料處理流程中，「資料視覺化」的主要目的是什麼？	增加資料儲存空間	以圖形或圖像方式呈現數據，幫助理解和發現模式	改變資料的原始數值	減少資料的維度	B	資料視覺化將複雜數據轉化為易於理解的圖表，有助於快速洞察數據趨勢和異常。
機器學習中，「強化學習」（Reinforcement Learning）的主要特點是？	需要大量的標註數據	透過與環境互動，從獎勵和懲罰中學習最佳行為	僅用於分類問題	只能處理結構化數據	B	強化學習模型透過試錯和獎勵機制，在動態環境中學習如何做出決策以最大化累積獎勵。
下列哪項是生成式AI在「安全性」方面可能面臨的挑戰？	模型訓練速度慢	生成的內容可能被用於惡意目的，如深度偽造（Deepfake）	模型部署成本高	難以獲取足夠的訓練數據	B	生成式AI可能被惡意利用來生成虛假信息、圖像或音頻，造成社會問題和安全威脅。
No Code/Low Code平台在「限制」方面，下列哪項描述是正確的？	只能由非技術人員使用	可能難以與現有複雜系統深度整合	只能在本地環境運行	學習曲線非常陡峭	B	No Code/Low Code平台雖然易於使用，但在與企業現有複雜的IT系統進行深度整合時，可能會遇到挑戰。
如何善用生成式AI工具，下列哪項是重要的考量？	忽略AI生成的內容可能存在的偏見	僅依賴AI生成內容，不進行事實核查	了解AI工具的生成能力和局限性	將AI視為萬能解決方案	C	充分了解生成式AI工具的能力邊界和潛在局限性，是有效利用其功能的基礎。
生成式AI導入規劃中，「試用測試」的目的是什麼？	立即大規模部署	在小範圍內驗證模型性能和解決方案可行性	收集用戶個人數據	評估市場需求	B	試用測試是控制風險的關鍵步驟，用於在實際環境中驗證AI解決方案的效果，並及早發現問題。
AI的「分類」中，下列哪項是基於應用領域的分類？	弱AI與強AI	符號主義AI與連接主義AI	自然語言處理與電腦視覺	規則型AI與統計型AI	C	自然語言處理和電腦視覺是AI的兩個主要應用領域，分別處理文本和圖像數據。
資料隱私與安全中，「資料匿名化」的主要目的是什麼？	增加資料的儲存成本	移除或修改資料中的個人識別資訊，以保護隱私	提高資料的處理速度	確保資料的完整性	B	資料匿名化是保護個人隱私的重要技術，透過去除或模糊化識別資訊，使數據無法追溯到特定個人。
機器學習概念中，「特徵選擇」的主要目的是什麼？	增加模型的複雜度	從原始特徵中選擇最相關、最有用的子集，以提高模型性能和效率	隨機選擇特徵	僅選擇數值型特徵	B	特徵選擇有助於減少數據維度、降低過擬合風險，並提高模型的訓練速度和解釋性。
下列哪項是生成式AI的典型應用？	判斷電子郵件是否為垃圾郵件	根據文字描述生成圖像	預測客戶流失率	識別語音中的情感	B	根據文字描述生成圖像（Text-to-Image）是生成式AI最直觀且廣泛的應用之一。
No Code/Low Code平台在「優勢」方面，下列哪項描述是錯誤的？	降低開發成本	提高開發效率	增加對供應商的依賴	賦能業務用戶參與開發	C	增加對供應商的依賴是No Code/Low Code的潛在限制或風險，而非優勢。
如何善用生成式AI工具，下列哪項是重要的考量？	僅使用AI生成內容，不進行人工審核	鼓勵AI生成具有爭議性的內容	建立有效的審核機制，確保內容品質和合規性	忽略AI可能產生的幻覺（Hallucination）問題	C	建立審核機制對於確保生成內容的準確性、合規性和避免不當內容至關重要。
生成式AI導入規劃中，「風險管理」的目的是什麼？	避免所有風險	識別、評估和減輕與生成式AI應用相關的潛在風險	僅關注技術風險	將所有風險轉嫁給第三方	B	風險管理是一個持續的過程，旨在識別、評估和減輕潛在風險，以確保AI應用的穩健和負責任部署。
AI治理概念中，「問責制」（Accountability）的重要性體現在？	讓AI系統自主承擔責任	確保AI系統的決策和行為可以追溯到負責的實體或個人	限制AI系統的自主性	僅對AI系統的技術故障負責	B	問責制確保AI系統的行為和結果有明確的責任歸屬，這對於建立信任和處理潛在問題至關重要。
資料基本概念中，「結構化數據」的主要特點是？	沒有預定義的格式	儲存在固定格式的資料庫中，如表格	包含大量的圖像和音頻	難以進行查詢和分析	B	結構化數據具有明確的格式和組織方式，通常儲存在關聯式資料庫中，便於查詢和分析。
機器學習概念中，「交叉驗證」（Cross-validation）的主要目的是什麼？	增加訓練數據量	評估模型在未見數據上的泛化能力，避免過擬合	選擇最佳的特徵	調整模型的學習率	B	交叉驗證透過將數據集劃分為多個子集進行訓練和測試，更可靠地評估模型的性能和泛化能力。
鑑別式AI與生成式AI的「整合應用」中，下列哪項是可能的場景？	生成式AI可以為鑑別式AI提供合成數據進行訓練	鑑別式AI可以評估生成式AI生成內容的品質	兩者結合可以創造出更複雜、更智能的應用	兩者在任何情況下都不能結合使用	D	鑑別式AI和生成式AI可以相互補充，結合使用可以實現更強大的功能，例如生成數據用於訓練，或評估生成內容。
No Code/Low Code平台在AI解決方案設計與測試中的「優勢」是什麼？	只能由專業開發者使用	允許業務用戶直接參與AI應用的設計和測試	限制AI模型的選擇	部署過程複雜	B	No Code/Low Code平台賦予業務用戶更多自主權，使他們能夠直接參與AI解決方案的設計和測試，加速業務流程的數位化。
生成式AI應用領域中，下列哪項不屬於其常見應用？	虛擬人物的語音合成	異常檢測	文本風格轉換	圖像修復	B	異常檢測主要用於識別數據中的異常模式，屬於鑑別式AI的範疇，而非生成式AI的典型應用。
生成式AI風險管理中，下列哪項是關於「倫理」的考量？	確保模型訓練速度	評估AI生成內容可能帶來的社會影響，如版權、道德和偏見	選擇最便宜的AI工具	忽略數據偏見	B	生成式AI的倫理風險包括內容的版權歸屬、潛在的道德爭議以及可能加劇社會偏見等，需要仔細評估和管理。
下列哪項是AI治理概念中「可解釋性」的對立面？	透明度	黑箱模型	公平性	問責制	B	黑箱模型是指其內部運作機制不透明、難以理解的AI模型，與可解釋性相對立。
資料處理與分析中，「資料正規化」（Data Normalization）的主要目的是什麼？	增加資料的儲存空間	將不同尺度或範圍的數據轉換為統一的範圍，以避免某些特徵主導模型訓練	移除重複數據	改變資料的數據類型	B	資料正規化是預處理步驟，確保所有特徵在相似的尺度上，有助於模型更有效地學習。
常見的機器學習模型中，下列哪種模型主要用於處理圖像數據？	邏輯迴歸	卷積神經網絡 (CNN)	決策樹	K-Means 聚類	B	卷積神經網絡（CNN）因其在處理網格狀數據（如圖像）方面的優勢，廣泛應用於電腦視覺任務。
鑑別式AI與生成式AI的「整合應用」中，下列哪項是可能的場景？	使用生成式AI生成文本，再由鑑別式AI進行情感分析	僅使用鑑別式AI進行圖像生成	兩者獨立運行，互不影響	僅使用生成式AI進行分類任務	A	生成式AI可以創造文本內容，而鑑別式AI則可以對這些文本進行情感分析，是常見的整合應用。
No Code/Low Code平台在AI解決方案設計與測試中的「限制」是什麼？	只能處理小規模數據	可能無法滿足所有複雜的業務邏輯或特定演算法需求	學習曲線陡峭	部署過程複雜	B	No Code/Low Code平台雖然方便，但對於需要高度客製化或複雜演算法的應用，其靈活性可能不足。
如何善用生成式AI工具，下列哪項是錯誤的觀念？	將AI視為創造性工作的輔助	鼓勵AI生成具有版權爭議的內容	了解AI工具的局限性	結合人類專業知識進行審核和修正	B	應避免鼓勵AI生成可能侵犯版權的內容，並確保生成內容的合法性和道德性。
生成式AI導入規劃中，「需求確認」的主要目的是什麼？	確定模型的訓練時間	明確業務問題、目標和預期成果，以指導AI解決方案的開發	選擇最便宜的AI工具	忽略用戶反饋	B	清晰的需求確認是任何專案成功的基礎，確保AI解決方案能夠真正解決業務痛點並創造價值。
AI治理概念中，「公平性」（Fairness）的重要性體現在？	確保AI系統對所有用戶一視同仁，不產生歧視或偏見	讓AI系統的決策過程更難以理解	增加AI模型的訓練時間	降低AI模型的準確性	A	公平性要求AI系統在決策和行為上不偏不倚，避免因種族、性別、年齡等因素產生歧視。
資料隱私與安全中，「資料加密」的主要目的是什麼？	增加資料的儲存空間	保護資料在傳輸和儲存過程中的機密性，防止未經授權的訪問	提高資料的處理速度	確保資料的完整性	B	資料加密是保護數據機密性的重要手段，透過將數據轉換為密文，只有授權用戶才能解密訪問。
機器學習概念中，「超參數調優」（Hyperparameter Tuning）的主要目的是什麼？	增加訓練數據量	選擇最佳的機器學習算法	尋找模型的最佳超參數組合，以提高模型性能	評估模型的泛化能力	C	超參數調優是優化模型性能的關鍵步驟，透過調整學習率、隱藏層數量等超參數，使模型達到最佳表現。
下列哪項是生成式AI在「版權」方面可能面臨的挑戰？	模型訓練速度慢	生成的內容可能與現有作品相似，引發版權歸屬爭議	模型部署成本高	難以獲取足夠的訓練數據	B	生成式AI可能在無意中生成與現有受版權保護作品相似的內容，導致版權侵權問題。
No Code/Low Code平台在AI解決方案設計與測試中的「優勢」是什麼？	只能處理小規模數據	促進業務部門與IT部門之間的協作	限制AI模型的選擇	部署過程複雜	B	No Code/Low Code平台透過簡化的開發流程，有助於打破業務與IT之間的壁壘，促進跨部門協作。
如何善用生成式AI工具，下列哪項是重要的考量？	盲目相信AI生成的所有內容	僅依賴AI生成內容，不進行事實核查	了解AI工具的局限性，並進行事實核查	將AI視為萬能解決方案	C	即使是生成式AI，其生成內容也可能存在不準確或「幻覺」現象，因此進行事實核查至關重要。
生成式AI導入規劃中，「目標設定」的主要目的是什麼？	確定模型的訓練時間	明確AI解決方案預期達成的具體、可衡量、可實現、相關且有時限的目標	選擇最便宜的AI工具	忽略用戶反饋	B	明確的目標設定（SMART原則）是確保AI專案成功的關鍵，它為整個開發過程提供了方向和衡量標準。
AI治理概念中，「可靠性」（Reliability）的重要性體現在？	確保AI系統在不同條件下都能穩定、一致地運行，並產生預期的結果	讓AI系統的決策過程更難以理解	增加AI模型的訓練時間	降低AI模型的準確性	A	可靠性確保AI系統在各種操作環境和輸入條件下都能持續提供準確和穩定的性能。
資料處理與分析中，「數據集成」（Data Integration）的主要目的是什麼？	增加資料的儲存空間	將來自不同來源、格式和結構的數據合併到一個統一的視圖中	移除重複數據	改變資料的數據類型	B	數據集成是將分散的數據匯聚起來，形成一個全面且一致的數據集，為分析提供基礎。
常見的機器學習模型中，下列哪種模型主要用於處理文本數據？	卷積神經網絡 (CNN)	循環神經網絡 (RNN)	決策樹	K-Means 聚類	B	循環神經網絡（RNN）及其變體（如LSTM、GRU）因其處理序列數據的能力，廣泛應用於自然語言處理任務。
鑑別式AI與生成式AI的「整合應用」中，下列哪項是可能的場景？	使用生成式AI生成虛擬客服對話，再由鑑別式AI判斷用戶意圖	僅使用鑑別式AI進行圖像生成	兩者獨立運行，互不影響	僅使用生成式AI進行預測任務	A	生成式AI可以創造對話內容，而鑑別式AI則可以理解用戶的真實意圖，兩者結合可提升客服體驗。
No Code/Low Code平台在AI解決方案設計與測試中的「限制」是什麼？	只能處理大量數據	可能導致對特定平台或供應商的依賴	學習曲線陡峭	部署過程複雜	B	供應商鎖定是No Code/Low Code平台的一個潛在風險，可能限制未來的靈活性和選擇。
如何善用生成式AI工具，下列哪項是重要的考量？	盲目相信AI生成的所有內容	僅依賴AI生成內容，不進行事實核查	了解AI工具的局限性，並進行事實核查和人工修正	將AI視為萬能解決方案	C	結合AI的生成能力與人類的審核和修正，是確保內容品質和準確性的最佳實踐。
生成式AI導入規劃中，「試用測試」的目的是什麼？	立即大規模部署	在小範圍內驗證模型性能和解決方案可行性，並收集用戶反饋	收集用戶個人數據	評估市場需求	B	試用測試不僅驗證技術可行性，也收集早期用戶反饋，以便在全面部署前進行調整和優化。
AI的「定義」中，通常強調AI系統具備哪些能力？	僅限於計算和數據儲存	學習、推理、解決問題、感知和理解語言等類人智慧能力	僅限於重複性任務的自動化	只能在預設規則下運行	B	AI的定義核心在於模擬和展現人類的智慧能力，包括學習、推理、解決問題等。
資料隱私與安全中，「資料去識別化」與「資料匿名化」的關係是？	兩者是完全相同的概念	資料去識別化是資料匿名化的一種方法	資料匿名化是資料去識別化的一種方法	兩者互不相關	C	資料匿名化是透過移除或修改識別資訊來保護隱私的過程，而資料去識別化是實現匿名化的一種廣泛策略，包含多種技術。
機器學習概念中，「模型評估指標」的主要作用是什麼？	增加模型的複雜度	量化模型性能，幫助選擇最佳模型和調整參數	選擇最佳的特徵	調整模型的學習率	B	模型評估指標（如準確率、精確率、召回率、F1分數等）提供客觀標準來衡量模型在特定任務上的表現。
下列哪項是生成式AI在「道德」方面可能面臨的挑戰？	模型訓練速度慢	生成的內容可能違反社會道德規範或引發倫理爭議	模型部署成本高	難以獲取足夠的訓練數據	B	生成式AI可能生成具有道德爭議的內容，如歧視性、煽動性或不實信息，需要嚴格的道德審查和規範。
No Code/Low Code平台在AI解決方案設計與測試中的「優勢」是什麼？	只能處理小規模數據	降低對專業開發人員的依賴，加速業務創新	限制AI模型的選擇	部署過程複雜	B	No Code/Low Code平台使非技術人員也能參與AI應用的開發，從而加速業務創新和數位轉型。
如何善用生成式AI工具，下列哪項是重要的考量？	盲目相信AI生成的所有內容	僅依賴AI生成內容，不進行事實核查	了解AI工具的局限性，並進行事實核查和人工修正，同時注意版權問題	將AI視為萬能解決方案	C	全面考量生成式AI的優勢與局限，並結合人工審核、事實核查和版權意識，才能負責任地使用。
生成式AI導入規劃中，「導入評估」的主要目的是什麼？	確定模型的訓練時間	評估生成式AI技術在特定業務場景中的適用性、潛在效益和風險	選擇最便宜的AI工具	忽略用戶反饋	B	導入評估是決定是否採用生成式AI的關鍵步驟，它全面分析技術可行性、商業價值和潛在風險。
AI治理概念中，「安全性」（Security）的重要性體現在？	確保AI系統免受惡意攻擊、數據洩露和未經授權的訪問	讓AI系統的決策過程更難以理解	增加AI模型的訓練時間	降低AI模型的準確性	A	安全性確保AI系統及其數據在整個生命週期中都受到保護，防止惡意行為和數據洩露。
下列何者最適合訓練電腦下圍棋、自動駕駛等動態重複地互動的問題？	監督式學習（Supervised Learning）	非監督式學習（Unsupervised Learning）	半監督式學習（Semi-supervised Learning）	強化學習（Reinforcement Learning）	D	強化學習適合解決動態重複地互動的問題，透過與環境互動來學習最佳策略，常用於訓練電腦下圍棋與自動駕駛。
深度學習模型中，下列哪一項通常用來降低過擬合（Overfitting）問題？	增加訓練數據量	增加模型的複雜度	增加學習率	增加正則化項	D	增加正則化項可以限制模型的複雜度，是深度學習模型中用來降低過擬合（Overfitting）的常見有效方法。
根據歐盟《人工智慧法》（AIA），使用 AI 進行社會信用評分，或在公眾場所使用遠程生物辨識系統進行執法，屬於哪一風險等級？	不可接受風險	高風險	有限風險	小或低風險	A	根據歐盟《人工智慧法》，可能引發對隱私和個人權利重大威脅的應用（如社會信用評分、公共場所遠程生物辨識），屬於「不可接受風險」。
關於 K 平均法（K-means）分群演算法，下列敘述何者「不」正確？	希望找出 k 個互不交集的群集	不同的起始群集中心，可能會造成不同的分群結果	容易受雜訊與離群值（Outlier）影響其群集中心	可以處理類別型資料	D	K 平均法（K-means）主要透過數值計算距離來進行分群，因此無法直接處理類別型資料。
在整合資料時，若發現同一客戶的姓名在不同系統中拼寫不一致（例如「陳大文」與「陳大文先生」），應在 ETL 哪一個流程步驟中進行處理？	資料轉換（Data Transformation）	資料擷取（Data Extraction）	資料載入（Data Loading）	型態轉換（Type Conversion）	A	統一拼寫格式與資料清洗屬於處理資料品質的問題，這類操作應在 ETL 的「資料轉換（Data Transformation）」步驟中進行。
若希望引導模型逐步推理以提升答案的準確性與可解釋性，下列哪一組提示語最能有效啟用模型的思維鏈（Chain-of-Thought）能力？	請回答這個數學問題，並直接給出答案	幫我算出 125 × 12 是多少？	請詳細列出每一個思考步驟，最後再給出答案	請用一句話簡要回答問題	C	思維鏈（Chain-of-Thought）的核心在於讓 AI 先推理再作答，因此要求 AI「詳細列出每一個思考步驟，最後再給出答案」最能有效啟用此能力。
企業使用第三方 AI API（如 OpenAI、Claude 等）處理內部資料時，為避免敏感資訊遭模型記憶，應優先採取下列哪一種作法？	啟用 Zero-Retention 模式或採用具企業資安保障的 API 服務	使用虛擬機建立隔離環境，以模擬匿名資料操作流程	將原始數據進行視覺化轉換，以避免直接暴露文本內容	將輸入資料轉換為向量嵌入後，再傳輸至語言模型進行處理	A	為了避免敏感資訊被第三方模型記憶或進一步分析，最直接且有效的作法是啟用 Zero-Retention 模式，或採用具備企業級資安保障的 API 服務。
訓練瑕疵偵測模型時，若高解析度影像存放於 NAS，觀察到 GPU 使用率僅約 20%至 30%，最可能的原因為何？	模型架構過於複雜，導致反向傳播時間過長	訓練資料品質不穩定，造成模型難以收斂	高解析影像從 NAS 載入產生 I/O 瓶頸，導致 GPU 等待	批次大小（Batch Size）設定不當，導致 GPU 長時間閒置	C	高解析影像檔案龐大，從 NAS 載入時容易因為傳輸速度不足而產生 I/O（Input/Output）瓶頸，導致 GPU 被迫閒置等待資料載入。
使用生成式 AI 撰寫分析報告時，若 AI 提供的內容語句通順，但卻包含了現實中不存在的法規條文與企業名稱。這最可能屬於哪種現象？	模型語料涵蓋不足，導致資料無法完整反映現實	提示語過度簡略，導致生成內容缺乏真實依據	模型缺乏檢索能力，無法即時查詢正確資訊	模型產生幻覺內容，虛構與真實資訊混雜出現	D	這是典型的 AI 幻覺現象，模型會生成看似語句通順且專業，但實際上是虛構與真實資訊混雜的錯誤內容。
使用生成式 AI 產出需要邏輯清晰、高度準確性與一致性的文本時，應如何設定溫度（Temperature）參數？	將溫度設定在 0.1 至 0.3，使輸出結果趨於穩定可預測	將溫度設定在 0.5 至 0.7，以取得適度創意與合理性平衡	將溫度設定在 1.0 至 1.2，提高語句的多樣性與發散性	維持預設溫度不變，讓模型依照原始設定自由生成	A	將溫度參數設定在較低的數值（如 0.1 至 0.3），有助於降低模型回答的不確定性，使生成的內容趨於穩定可預測，適合需要高度一致性的文本。
關於 No Code與 Low Code的基本概念，以下哪一項最為正確？	No Code平台完全不需要任何技術知識，Low Code平台僅適合專業開發者使用	No Code平台主要依靠圖形化介面（UI）進行開發，而 Low Code平台結合了簡單程式設計與視覺化工具	No Code與 Low Code平台主要針對傳統 IT團隊而設計	Low Code平台完全不需要程式設計知識	B	No Code平台的核心特點是使用圖形化介面（UI）讓用戶無需撰寫任何程式碼即可完成開發，而 Low Code平台則是結合了少量程式設計與圖形化工具，適合具備基本技術能力的用戶。選項（B）正確描述了兩者的特性，其他選項錯誤在於過於片面或不符合事實。
No Code / Low Code技術的主要優勢不包括以下哪一項？	加速開發流程，降低企業開發成本	幫助非技術人員創建應用和自動化流程	完全消除對專業技術人員的需求	加速企業數位轉型並提升競爭力	C	No Code和 Low Code平台可以大幅降低對專業技術人員的依賴，但不能完全取代他們，尤其是在需要高度客製化或複雜邏輯的應用場景中。選項（C）描述不正確，而選項（A）、（B）和（D）均是這些平台的重要優勢。
下列何者最能表達 No Code / Low Code平台的主要特色？	需要撰寫大量程式碼	運用模板快速建立應用程式	僅供專業開發人員使用	只能製作靜態網站	B	No Code / Low Code平台的主要特色是提供視覺化界面與模板，讓使用者不需撰寫或僅需撰寫少量程式碼即可快速建立應用程式。這類平台適合非技術人員使用，支持動態與互動式應用的開發，降低開發門檻和時間成本。
關於 No Code平台，下列敘述何者較為準確？	已經完全取代傳統的 AI開發模式	只適用於大型企業	是一種降低 AI技術複雜性和開發成本的新興方法	工具都具有完全相同的功能和效能	C	No Code平台是一種新興技術，透過圖形化介面及預建模組，使用者無需撰寫程式碼即可實現開發工作，從而有效降低技術複雜性與開發成本。
關於 No Code / Low Code平台，下列敘述何者較正確？	兩者完全相同	Low Code平台不需要任何程式設計知識	Low Code平台更適合開發靈活且可擴展的解決方案	No Code平台可以無限客製化	C	No Code和 Low Code平台雖然相似，但有明顯差異。No Code平台完全針對非技術使用者設計，無需撰寫程式碼即可完成應用開發；而 Low Code平台則適合具有基本程式知識的開發者，允許透過少量程式碼進行進一步的客製化，並具備更大的靈活性與擴展性，因此適合開發更複雜的解決方案。
下列哪一項不是 No Code / Low Code平台在推動 AI民主化過程中的挑戰？	使用者缺乏對 AI的深層理解	可能引發模型偏差或誤用	需要加強人員相關教育和規範	提供昂貴的開發工具	D	No Code 和 Low Code 平台在推動 AI 民主化過程中的挑戰包括使用者缺乏對 AI的深層理解、可能引發模型偏差或誤用，以及需要加強人員相關教育和規範，而不是提供昂貴的開發工具。
生成式 AI在金融業的應用不包括以下哪一項？	風險評估與管理	投資組合優化	自動化生成病歷	提供個人化投資建議	C	生成式 AI在金融業的應用包括風險評估與管理、投資組合優化和提供個人化投資建議，但自動化生成病歷是醫療領域的應用。
No Code 平台的設計目標是降低技術門檻，使哪一類使用者能夠開發應用程式，而無需撰寫程式碼？	技術專家	非技術背景的使用者	資深開發者	系統管理員	B	No Code平台主要讓沒有程式設計背景的人也能輕鬆構建應用程式。這些平台提供直觀的圖形化界面和拖放工具，使使用者能夠透過簡單的操作來設計和開發應用程式，無需編寫程式碼。相比之下，技術專家、資深開發者等通常傾向於使用 Low Code平台或傳統開發工具。
關於生成式 AI與 No Code / Low Code平台的應用，下列何者最不適合？	自動生成程式碼	自動化生成行銷文案	快速開發個人化 App	自動化生成法律判決	D	生成式 AI能自動生成程式碼、行銷文案及快速開發 App，但自動化生成法律文件不屬於常見應用，因為法律判決的生成通常需要專業的法律知識和嚴格的合規性審查，這超出了這些平台的主要功能範疇，不能僅依賴自動化工具。
在選擇No Code / Low Code平台時，下列何者為考慮功能與擴展性時最重要因素？	平台的購買成本	平台的技術整合能力和自訂性	使用者的程式設計能力	平台的市場評價	B	在選擇 No Code / Low Code平台時，功能與擴展性是關鍵考量因素之一，包括平台的技術整合能力（能否與 CRM、ERP 等現有系統無縫連接）和自訂性（能否滿足特定業務需求）。這些因素直接影響平台的實用性和靈活性
下列何者是使用生成式 AI進行圖像生成時需要考慮的問題？	生成圖像的解析度	版權和合法性	模型的推論時間	以上皆是	D	使用生成式 AI進行圖像生成時，需考慮多方面問題：解析度：確保生成圖像符合應用需求，如高解析度對於專業設計和印刷尤為重要。版權與合法性：避免生成內容侵害他人版權或觸犯法律，尤其是在商業應用中。推論時間：確保模型生成圖像的效率能滿足實際應用需求，例如即時生成場景的要求。因此，這些因素都是需要考慮的重要問題。
學校教師如何引導學生正確使用生成式 AI工具？	不應使用 AI工具於教學場域	無限制地使用 AI工具	訂立清晰的使用規範並進行說明	僅鼓勵學生利用 AI完成課堂作業	C	教師應引導學生正確使用生成式 AI 工具，避免過度依賴或誤用，制定清晰的使用規範，並向學生說明 AI的適用場景、倫理考量及可能的限制，能幫助學生發展批判性思維。同時，規範使用能促進學生將 AI工具作為輔助學習的資源，而非替代自主學習的過程；選項（A）、（B）與（D）皆過於極端，不符合平衡使用的教育理念。
下列哪一種技術方案適用於改善客戶體驗？	預測性維護工具	自然語言處理（NLP）和生成式回應模組	智慧排程系統	消費行為洞察模型	B	NLP和生成式回應模組可以提升客服平台的效率和溝通品質。
下列哪一種方式可以有效幫助現職員工提升 AI應用能力？	提高薪資來吸引 AI人才	安排跨部門交流和測試專案	減少員工的工作負擔	員工視需求選擇性自學 AI技術	B	實務操作和交流有助於員工快速掌握 AI技術，比單純自學效果更好。
下列何者為企業導入 AI技術後最直接的影響？	增加人力需求	提升生產力和效率	減少數據處理能力	降低市場競爭力	B	AI技術能有效提升生產力與效率，特別是在自動化流程與數據分析中。
下列哪一項技術是生成式 AI的基礎？	決策樹模型	生成對抗網路	聚類演算法	隨機森林技術	B	生成對抗網路是生成式人工智慧的核心技術之一，用於生成逼真的圖像和數據。
下列何者是人工智慧未來發展中最迫切需要解決的挑戰？	計算資源的過剩	資料隱私與道德規範問題	人才培育與跨領域合作的不足	無法應用於小型企業場景	B	資料隱私保護和倫理規範的建立是 AI技術進一步發展的關鍵挑戰。
使用生成式 AI生成的內容時，應採取什麼措施以確保內容品質？	使用內容直接進行學術報告	適當標注引用來源	減少人工參與的審查過程	排除所有生成的資料	B	在使用生成式 AI生成的內容時，適當標注引用來源是確保內容品質的重要措施，這樣做可以避免抄襲，尊重原作者的知識產權，並提供內容的可靠性和可追溯性。直接使用生成的內容進行學術報告（選項 A）可能會導致學術不端行為，而減少人工參與的審查過程（選項 C）則可能降低內容的準確性和品質。完全排除所有生成的資料（選項 D）則過於極端，無法充分利用 AI技術的優勢，因此適當標注引用來源是最佳選擇。
下列哪一項不是生成式 AI工具在使用體驗方面的優化方向？	提供更直觀的操作設計	支援自然語言指令	提供智慧化的參數調整建議	限制使用者自訂生成內容	D	生成式 AI工具在使用體驗方面的優化方向包括提供更直觀的操作設計、支援自然語言指令以及提供智慧化的參數調整建議，而不是限制使用者自訂生成內容
企業導入生成式 AI的第一步應是什麼？	確保硬體設備升級	設定可量化、可追蹤的經營目標	安排員工進行 AI相關培訓	購買生成式 AI相關軟體	B	設定明確目標是規劃 AI導入的基礎，其他步驟都需要以此為依據。
以下哪一項屬於企業在評估導入生成式 AI時需識別的問題領域？	市場趨勢預測能力有限	設計更高效能的運算資源	增加銷售團隊人力	減少 AI模型參數數量	A	評估問題領域需從企業現有瓶頸出發，市場趨勢預測能力不足是常見的挑戰。
企業若要有效支援生成式 AI的運行，內部 IT環境最需要具備下列何種條件？	提供更多的辦公設備，以提升員工生產力	精簡企業內部流程，以加速決策效率	擁有高效能運算資源與彈性儲存空間，以支援 AI模型訓練與推理	增加部門之間的交流機會，以促進跨部門合作	C	此題聚焦於 AI需要的核心 IT基礎設施，生成式 AI需要強大的運算資源和靈活的存儲環境來支持運行。
在生成式 AI導入過程中，資料安全與隱私保護的哪一方面是最重要的考量？	權限控管與合規要求	增強客服回饋（反饋）能力	資料視覺化能力	設定目標優先級	A	確保權限控管和合規是保障資料安全和避免法律風險的重要措施。
成功導入生成式 AI的關鍵在於哪三個因素？	提供更多數據、加強合作、減少成本	清晰定義痛點、技術匹配、培養人才	投資高端設備、增加技術人員、縮短流程	推行技術改革、調整市場策略、強化品牌	B	清晰目標、適配技術和人才培養是生成式 AI成功應用的三大核心因素。
在導入生成式 AI的構想階段，企業應首先專注於什麼？	提升內部資料儲存容量	明確經營目標與核心價值	進行員工 AI基礎培訓	購買市面上的 AI軟體	B	企業應從經營目標、核心價值和長期策略出發，明確生成式 AI的應用方向，這是成功導入的基礎。
在 AI導入正式實施階段，企業應優先進行的活動是什麼？	增加行銷預算	調整產品價格	確保相關人員熟悉新流程與工具	減少生產規模以減少風險	C	員工熟悉新流程和工具是 AI成功應用的基礎，確保業務能順利過渡。
下列何者為風險分析階段的主要目的？	找到更多的數據來源	增強模型的效能	評估風險的影響與發生可能性	降低模型運行成本	C	風險分析的重點是根據影響程度與發生機率，評估風險的嚴重性，從而進行分級與資源分配。
若企業將資料安全管理外包給第三方服務供應商，屬於哪種風險應對策略？	風險緩解	風險轉移	風險接受	風險規避	B	透過外包或購買保險等方式，企業將潛在風險轉移至第三方來處理。
為了確保風險管理的持續有效性，企業應如何應對風險管理策略的效果下降？	繼續沿用原策略	停止 AI應用以防意外	快速調整並進行必要改進	將策略移交給外部顧問	C	當發現策略效果下降時，企業應主動調整策略並進行改進，確保風險管理的持續有效性。
